"Id","Title","Time","Description","Link"
"12","Do new school uniform rules save parents money?","1661122880000","Schools now have to take unnecessary logos off uniforms, but so far not all parents are benefitting.","https://www.bbc.co.uk/news/business-62601669?at_medium=RSS&at_campaign=KARANGA"
"13","Plans to cut energy bills if peak-time use avoided","1661176006000","How homes can get discounts if they use less electricity at peak times are close to being announced.","https://www.bbc.co.uk/news/business-62626908?at_medium=RSS&at_campaign=KARANGA"
"14","Over-50s turn to house-shares to beat rising rents","1661076968000","One flat-sharing website says it has seen a 239% increase in older people seeking shared accommodation.","https://www.bbc.co.uk/news/business-62344571?at_medium=RSS&at_campaign=KARANGA"
"15","Cost-of-renting: Young, struggling and short of cash","1660952352000","We hear from young people finding it hard to afford their rent, as well as a landlord facing rising costs.","https://www.bbc.co.uk/news/business-62605819?at_medium=RSS&at_campaign=KARANGA"
"16","Growing share of under-30s pay unaffordable rent","1660904544000","The proportion of under-30s spending a third of their pay on rent is at a five-year high, data suggests.","https://www.bbc.co.uk/news/business-62525269?at_medium=RSS&at_campaign=KARANGA"
"17","Decline in cash use eases after pandemic slump","1660819063000","Although cards remain a far more popular way to pay, cash is a preferred option for many, a report says.","https://www.bbc.co.uk/news/business-62576024?at_medium=RSS&at_campaign=KARANGA"
"18","UK inflation: Food costs push price rises to new 40-year high","1660734108000","Prices climb 10.1% in the year to July as the cost of food, household goods and holidays soars.","https://www.bbc.co.uk/news/business-62562025?at_medium=RSS&at_campaign=KARANGA"
"19","UK inflation rate calculator: How much are prices rising for you?","1660718378000","Use our calculator to find out how much the cost of living is going up in your household.","https://www.bbc.co.uk/news/business-62558817?at_medium=RSS&at_campaign=KARANGA"
"20","Inflation: Why price rises are worse for some people than others","1660691013000","Your own personal inflation rate could be higher than official figures suggest.","https://www.bbc.co.uk/news/business-62553641?at_medium=RSS&at_campaign=KARANGA"
"21","Inflation drives fastest fall in real pay on record","1660647895000","Wage growth is lagging behind soaring prices as households grapple with the rising living costs.","https://www.bbc.co.uk/news/business-62550069?at_medium=RSS&at_campaign=KARANGA"
"22","Cost of living: Iceland to offer interest-free loans to customers","1660657209000","Interest free loans of between £25 and £100 will be available to help with rising inflation.","https://www.bbc.co.uk/news/uk-wales-62560997?at_medium=RSS&at_campaign=KARANGA"
"23","Not just hardest up that need bill help - Sir Keir Starmer","1660633347000","The Labour leader tells the BBC his proposal to freeze energy prices for all is a good use of public money.","https://www.bbc.co.uk/news/uk-politics-62553338?at_medium=RSS&at_campaign=KARANGA"
"24","Nursery closures: Parents left without childcare as providers shut","1660554217000","A campaign group says it has been ""inundated"" with messages about nurseries going out of business suddenly.","https://www.bbc.co.uk/news/business-62496728?at_medium=RSS&at_campaign=KARANGA"
"25","Government proposes more help for energy-intensive firms","1660282433000","Sectors like steel, paper and glass that use a lot of power could be set to receive more support.","https://www.bbc.co.uk/news/business-62510096?at_medium=RSS&at_campaign=KARANGA"
"26","Rail fares in England to rise below inflation rate, ministers say","1660496515000","The increase will also begin in March, rather than January, the government says.","https://www.bbc.co.uk/news/business-62542538?at_medium=RSS&at_campaign=KARANGA"
"27","House sales peak in July but buyers are cautious","1661252274000","More homes were sold in the UK in July than in any other month this year, despite pressure on budgets.","https://www.bbc.co.uk/news/business-62646676?at_medium=RSS&at_campaign=KARANGA"
"28","Gatwick flights cancelled at short notice due to staff sickness","1661268447000","Around 26 EasyJet flights have been cancelled in and out of the London airport.","https://www.bbc.co.uk/news/business-62643664?at_medium=RSS&at_campaign=KARANGA"
"29","Elon Musk subpoenas Twitter founder Jack Dorsey ahead of court battle","1661208311000","The billionaire hopes Jack Dorsey will help him end his deal to buy the social media site.","https://www.bbc.co.uk/news/business-62641029?at_medium=RSS&at_campaign=KARANGA"
"30","Usain Bolt moves to trademark signature victory pose","1661225356000","The retired sprinter and fastest man in history wants to trademark a logo of his signature move.","https://www.bbc.co.uk/news/business-62641887?at_medium=RSS&at_campaign=KARANGA"
"31","Bangladesh cuts school and office hours to save power","1661234113000","The country started daily two-hour power cuts last month after the Ukraine war drove up energy prices.","https://www.bbc.co.uk/news/business-62641877?at_medium=RSS&at_campaign=KARANGA"
"32","British Airways to cut 10,000 winter flights","1661184619000","The airline is cancelling flights from Heathrow 'to protect key holiday destinations over half-term'.","https://www.bbc.co.uk/news/business-62637616?at_medium=RSS&at_campaign=KARANGA"
"33","PwC sued by worker over 'pub golf' head injury","1661193807000","An auditor at one of the UK's largest accountancy firms claims a drinking game left him injured.","https://www.bbc.co.uk/news/business-62632803?at_medium=RSS&at_campaign=KARANGA"
"34","Cineworld confirms it is considering bankruptcy","1661166608000","The cinema chain, which also owns Picturehouse, says it has struggled with poor ticket sales.","https://www.bbc.co.uk/news/business-62629932?at_medium=RSS&at_campaign=KARANGA"
"35","PlayStation sued for £5bn in the UK over ‘rip-off’ games","1661170844000","The gaming firm is accused of using its market dominance to impose extra charges and drive up prices.","https://www.bbc.co.uk/news/technology-62631533?at_medium=RSS&at_campaign=KARANGA"
"36","Iconic Shanghai sites go dark as drought hits power supply","1661153646000","Power cuts elsewhere in China have also hit major manufacturers of cars and smartphones.","https://www.bbc.co.uk/news/business-62628544?at_medium=RSS&at_campaign=KARANGA"
"37","China cuts mortgage rate as property crisis deepens","1661146935000","The country's central bank lowered the five-year lending rate by 1.5 percentage points on Monday.","https://www.bbc.co.uk/news/business-62629144?at_medium=RSS&at_campaign=KARANGA"
"38","Sizewell C: Boris Johnson backs Suffolk nuclear power plant funding","1661155671000","The Sizewell C plant is expected to cost £20bn and could provide the UK with 7% of its electricity.","https://www.bbc.co.uk/news/uk-england-suffolk-62629276?at_medium=RSS&at_campaign=KARANGA"
"39","P&O Ferries won't face criminal action over mass sacking of staff","1660984505000","The Insolvency Service said there was no likely prospect of conviction, but a civil investigation is ongoing.","https://www.bbc.co.uk/news/uk-62613625?at_medium=RSS&at_campaign=KARANGA"
"40","Rail strikes: Passengers told not to travel by rail as disruption hits","1661011179000","Rail passengers face further disruption amid the sixth one-day strike of the summer.","https://www.bbc.co.uk/news/business-62612433?at_medium=RSS&at_campaign=KARANGA"
"41","Is there a green solution to the vinyl record backlog?","1661037058000","Green Vinyl Records is taking the vinyl out of vinyl to offer more environmentally-friendly LPs.","https://www.bbc.co.uk/news/technology-62426472?at_medium=RSS&at_campaign=KARANGA"
"42","Felixstowe: Dock workers strike for first time in 30 years","1661087128000","Staff at Felixstowe, which handles half of the country's container cargo, walk out for eight days.","https://www.bbc.co.uk/news/uk-england-suffolk-62608112?at_medium=RSS&at_campaign=KARANGA"
"43","Cineworld shares plunge on bankruptcy fears","1660922743000","The heavily indebted cinema chain, which also owns Picturehouse, has been hit by poor audiences.","https://www.bbc.co.uk/news/business-62607998?at_medium=RSS&at_campaign=KARANGA"
"44","Russia Starbucks: Home-grown chain Stars replaces coffee giant","1660908602000","Stars Coffee replaces Starbucks after the US chain pulled out over the Russian invasion of Ukraine.","https://www.bbc.co.uk/news/world-europe-62605417?at_medium=RSS&at_campaign=KARANGA"
"45","Consumer confidence hits record low as prices soar","1660900384000","Shoppers' concerns come in the face of ""soaring cost-of-living and bleak economic prospects"", says research.","https://www.bbc.co.uk/news/business-62601689?at_medium=RSS&at_campaign=KARANGA"
"46","Billionaire Xiao Jianhua jailed for 13 years in China","1660909693000","Chinese-Canadian tycoon Xiao Jianhua disappeared from a luxury hotel in Hong Kong in 2017.","https://www.bbc.co.uk/news/world-asia-china-62605879?at_medium=RSS&at_campaign=KARANGA"
"47","Why more people are working from home on Fridays","1660865155000","While there are benefits to ending the week at home, Friday after work drinks could be fizzling out.","https://www.bbc.co.uk/news/business-62560520?at_medium=RSS&at_campaign=KARANGA"
"48","Buy now, pay later: Warning over influencers' adverts on social media","1660899161000","Financial regulator says some adverts posted by influencers fail to highlight risks of borrowing.","https://www.bbc.co.uk/news/business-62603257?at_medium=RSS&at_campaign=KARANGA"
"49","Driverless cars: Experts warn no easy answer to how safe they should be","1660864676000","It might not be enough for self-driving cars to be safer than usual cars as people expect more, experts say.","https://www.bbc.co.uk/news/technology-62598618?at_medium=RSS&at_campaign=KARANGA"
"50","Starbucks ordered to reinstate fired Memphis staff","1660854033000","Sacked workers claim they were axed because of pro-union activity as the coffee chain vows to appeal.","https://www.bbc.co.uk/news/business-62599095?at_medium=RSS&at_campaign=KARANGA"
"51","Jim Ratcliffe: Who is the man bidding for Man Utd?","1660832600000","One of the UK's richest men, Sir Jim has built a multi-billion pound business by buying unloved assets.","https://www.bbc.co.uk/news/business-44101223?at_medium=RSS&at_campaign=KARANGA"
"52","Tory leadership race: Tax cut pledges are unrealistic, says IFS","1660797333000","Slashing taxes would add to pressures on public finances unless spending is also cut, the IFS warns.","https://www.bbc.co.uk/news/business-62578655?at_medium=RSS&at_campaign=KARANGA"
"53","Pulsic takeover by Super Orange HK blocked on security grounds","1660836547000","The move is the latest attempt by the government to limit China's involvement in UK business and technology.","https://www.bbc.co.uk/news/business-62588656?at_medium=RSS&at_campaign=KARANGA"
"54","US and Taiwan announce formal bilateral trade talks","1660795882000","The talks come weeks after a controversial visit to Taiwan by US House Speaker Nancy Pelosi.","https://www.bbc.co.uk/news/business-62585899?at_medium=RSS&at_campaign=KARANGA"
"55","Japan urges its young people to drink more to boost economy","1660832054000","The government's tax agency is encouraging a new generation of alcohol drinkers.","https://www.bbc.co.uk/news/world-asia-62585809?at_medium=RSS&at_campaign=KARANGA"
"56","Sir Jim Ratcliffe: Billionaire wants to buy Manchester United","1660813491000","British billionaire Sir Jim Ratcliffe wants to buy Manchester United if the Glazer family put the club up for sale.","https://www.bbc.co.uk/sport/football/62584716?at_medium=RSS&at_campaign=KARANGA"
"57","Gateshead factory closure puts 430 jobs at risk","1660817675000","Orchard House Foods wants to relocate production from Gateshead to its base in Northamptonshire.","https://www.bbc.co.uk/news/uk-england-tyne-62590397?at_medium=RSS&at_campaign=KARANGA"
"58","Ofgem director Christine Farnish resigns over price cap change","1660768817000","A director of the UK's energy watchdog quits over the way the energy price cap will be set.","https://www.bbc.co.uk/news/business-62578614?at_medium=RSS&at_campaign=KARANGA"
"59","Royal Mail workers vote for further strikes","1660755637000","Members of the Communication Workers Union at the Royal Mail voted to strike over terms and conditions.","https://www.bbc.co.uk/news/business-62582240?at_medium=RSS&at_campaign=KARANGA"
"60","UK drought: Why we need to get used to wonky vegetables","1660782311000","Our produce is likely to be smaller, odd-looking, or even leathery after the hot, dry weather.","https://www.bbc.co.uk/news/science-environment-62575247?at_medium=RSS&at_campaign=KARANGA"
"61","Pace of UK house price rises slows to 11-month low, says ONS","1660733419000","Property values rose fastest in Scotland in the year to June, official figures show.","https://www.bbc.co.uk/news/business-62576020?at_medium=RSS&at_campaign=KARANGA"
"62","Tencent sees first sales fall as China economy slows","1660754676000","The WeChat owner is also feeling the effects of a regulatory clampdown on gaming.","https://www.bbc.co.uk/news/business-62581182?at_medium=RSS&at_campaign=KARANGA"
"63","Ladbrokes owner Entain to pay £17m for breaching rules","1660735610000","Entain failed to properly check possible money-laundering or offer support to struggling customers.","https://www.bbc.co.uk/news/uk-62574721?at_medium=RSS&at_campaign=KARANGA"
"64","Backing for Adam Neumann's new firm prompts outrage","1660691033000","Adam Neumann's financial backers say he's a ""visionary leader"" but others have doubts over his latest plans.","https://www.bbc.co.uk/news/business-62568108?at_medium=RSS&at_campaign=KARANGA"
"65","UK to receive shipment of Australian gas next week","1660682953000","As Europe looks for alternatives to Russian energy, the UK is set to get an LNG delivery from Australia.","https://www.bbc.co.uk/news/business-62570900?at_medium=RSS&at_campaign=KARANGA"
"66","Economic slowdown: China urges push to boost sluggish economy","1660707996000","Premier Li Keqiang called for a 'sense of urgency' to reverse a zero-Covid led slump.","https://www.bbc.co.uk/news/business-62571995?at_medium=RSS&at_campaign=KARANGA"
"67","Young watch almost seven times less TV than over-65s - Ofcom","1660691665000","The average 16 to 24-year-old watches TV for 53 minutes a day compared with nearly six hours for over-65s.","https://www.bbc.co.uk/news/technology-62506041?at_medium=RSS&at_campaign=KARANGA"
"68","Train and Tube strikes: What are the dates and where is affected?","1660954236000","Thousands of transport workers are striking in an ongoing row over pay, jobs and conditions.","https://www.bbc.co.uk/news/business-61634959?at_medium=RSS&at_campaign=KARANGA"
"69","Direct sales: 'My dream job turned into a nightmare'","1661209822000","A BBC investigation reveals tough working conditions and the potential exploitation of young sales agents.","https://www.bbc.co.uk/news/business-62466147?at_medium=RSS&at_campaign=KARANGA"
"70","What to do with clothes you no longer wear","1661209950000","New services offer convenient tailoring and repurposing of clothes in a bid to make them last longer.","https://www.bbc.co.uk/news/business-62176336?at_medium=RSS&at_campaign=KARANGA"
"71","Can a sleepy Japanese town become Asia's Silicon Valley?","1661122949000","A school for tech entrepreneurs will open its doors in April 2023 in the Tokushima town of Kamiyama.","https://www.bbc.co.uk/news/business-62463974?at_medium=RSS&at_campaign=KARANGA"
"72","Greece promotes smaller islands in post-Covid tourism push","1661036417000","Greece promotes its lesser-known holiday destinations, but do locals embrace the trend?","https://www.bbc.co.uk/news/business-62595814?at_medium=RSS&at_campaign=KARANGA"
"73","Port of Felixstowe strike will cost us a stack of money - haulier","1661062536000","Companies talk of how they expect the eight-day strike at the Port of Felixstowe to affect them.","https://www.bbc.co.uk/news/uk-england-suffolk-62582931?at_medium=RSS&at_campaign=KARANGA"
"74","What Hollywood is doing with props to cut waste","1660866140000","From recycling props to melting down materials, the film industry is making efforts to be less wasteful.","https://www.bbc.co.uk/news/business-62048067?at_medium=RSS&at_campaign=KARANGA"
"75","Train and Tube strikes: Salon owner says strikes make it feel like the pandemic","1660954349000","Cancellations and no-shows - how industrial action on transport is affecting the hospitality business.","https://www.bbc.co.uk/news/uk-62602410?at_medium=RSS&at_campaign=KARANGA"
"76","Property guardians move with the times to save cash","1660777336000","People living in disused buildings can save on rent, while owners are reassured the property is occupied.","https://www.bbc.co.uk/news/business-62491329?at_medium=RSS&at_campaign=KARANGA"
"77","How to make movies without a huge carbon footprint","1660691203000","The film and TV industry is switching towards greener energy sources but the transition has challenges.","https://www.bbc.co.uk/news/business-62051070?at_medium=RSS&at_campaign=KARANGA"
"78","'Starbucks fired me for being three minutes late'","1660581669000","Starbucks is fighting efforts by workers in the US to unionise. Is it winning?","https://www.bbc.co.uk/news/business-62426940?at_medium=RSS&at_campaign=KARANGA"
"79","The tech aiming to prevent lost airline luggage","1660555412000","With millions of bags and suitcases going missing this summer, technology may offer the solution.","https://www.bbc.co.uk/news/business-62446937?at_medium=RSS&at_campaign=KARANGA"
"80","The rise of repairing: Why more of us are trying to fix things","1660172754000","As the cost of living soars 'repair cafes' are growing in popularity.","https://www.bbc.co.uk/news/business-62476690?at_medium=RSS&at_campaign=KARANGA"
"81","Mining boss: 'One person doesn't have all the answers'","1660086645000","Mpumi Zikalala, CEO of Kumba Iron Ore, shares an insight for our CEO Secrets series.","https://www.bbc.co.uk/news/business-62476338?at_medium=RSS&at_campaign=KARANGA"
"82","Are we falling in love with robots?","1659999828000","Far from being scary, people who actually live with robots are finding them endearing.","https://www.bbc.co.uk/news/business-62007675?at_medium=RSS&at_campaign=KARANGA"
"83","The lockdown side-hustles that turned into full-time businesses","1659915324000","The pandemic turned some people into savvy entrepreneurs but how many have ditched their day job?","https://www.bbc.co.uk/news/business-61999826?at_medium=RSS&at_campaign=KARANGA"
"84","The plans for giant seaweed farms in European waters","1659914207000","As worldwide sales of the algae soar, the European Union wants to establish giant seaweed farms.","https://www.bbc.co.uk/news/business-62407504?at_medium=RSS&at_campaign=KARANGA"
"85","Is there anything green about plastic grass?","1659826870000","More people are swapping real lawns for fake but experts are worried about its environmental impact.","https://www.bbc.co.uk/news/business-61552315?at_medium=RSS&at_campaign=KARANGA"
"86","Why Australia will work harder to build ties with Indonesia","1659738712000",".","https://www.bbc.co.uk/news/business-62078999?at_medium=RSS&at_campaign=KARANGA"
"87","Can North America's downtowns reverse their downturns?","1659568200000","City centres across the US and Canada are still much quieter than before the pandemic started.","https://www.bbc.co.uk/news/business-62390097?at_medium=RSS&at_campaign=KARANGA"
"88","CEO Secrets: Hard Rock Cafe boss on the shift he'll never forget","1659481266000","Jim Allen, chairman of Hard Rock International, shares a story for our CEO Secrets series.","https://www.bbc.co.uk/news/business-62381040?at_medium=RSS&at_campaign=KARANGA"
"89","How rangers are using AI to help protect India's tigers","1659395258000","India's tigers roam across vast areas, so artificial intelligence is being developed to help track them.","https://www.bbc.co.uk/news/business-61824904?at_medium=RSS&at_campaign=KARANGA"
"90","The space tech helping to tackle deforestation","1659308451000","How the International Space Station is helping to tackle deforestation","https://www.bbc.co.uk/news/business-62264710?at_medium=RSS&at_campaign=KARANGA"
"91","Train strikes: 'I cycled 33 miles to get to a gig'","1659159546000","Many people's travel plans have been disrupted but some aren't willing to let train strikes get in their way.","https://www.bbc.co.uk/news/business-62337044?at_medium=RSS&at_campaign=KARANGA"
"92","Why Premier League teams are flocking back to Asia","1658963658000","Top football clubs have resumed pre-season Asian summer tours, after three years of Covid travel bans.","https://www.bbc.co.uk/news/business-62234627?at_medium=RSS&at_campaign=KARANGA"
"93","The public relations and ad firms refusing fossil fuel clients","1658963282000","Climate change concerns have prompted a change of strategy for 295 firms.","https://www.bbc.co.uk/news/business-62303026?at_medium=RSS&at_campaign=KARANGA"
"94","Could the Great Lakes solve US shipping woes?","1658881146000","Inland ports along the Great Lakes are helping to fill the gap in supply-chain disruption.","https://www.bbc.co.uk/news/world-us-canada-62157479?at_medium=RSS&at_campaign=KARANGA"
"95","A mind-reading combat jet for the future","1658791530000","The Tempest fighter jet will have artificial intelligence tech to monitor and help the pilot.","https://www.bbc.co.uk/news/business-62289737?at_medium=RSS&at_campaign=KARANGA"
"96","Escalation of geopolitical tensions biggest risk to India&#039;s growth outlook: RBI MPC member ","1661321938000","High inflation won’t become ‘norm’ in India, says Jayanth Varma","https://www.thehindu.com/business/Economy/escalation-of-geopolitical-tensions-biggest-risk-to-indias-growth-outlook-rbi-mpc-member/article65804481.ece"
"97","Twitter reshuffles &#039;health&#039; team amid spam bot debate ","1661320522000","The social media company will combine its health experience team with the Twitter service team, which is responsible for reviewing profiles that users report and taking down spam accounts","https://www.thehindu.com/sci-tech/technology/twitter-takeover-health-team-spam-bot-debate-elon-musk-case/article65804298.ece"
"98","Meta reaches $37.5 million settlement of Facebook location tracking lawsuit ","1661319702000","Lawyers for the plaintiffs may seek up to 30% of Monday&#039;s settlement for legal fees, settlement papers show","https://www.thehindu.com/sci-tech/technology/meta-375-million-settlement-facebook-location-tracking-lawsuit-mark-zuckerberg/article65804326.ece"
"99","Celsius crypto lender, now bankrupt, sues ex-money manager over alleged theft ","1661318837000","Celsius accused Jason Stone and his company KeyFi Inc. of &quot;gross negligence&quot; and &quot;extraordinarily inept&quot; crypto investing","https://www.thehindu.com/sci-tech/technology/celsius-cryptocurrency-lender-bankrupt-sues-ex-money-manager-alleged-theft/article65804299.ece"
"100","Markets fall after early gains tracking weak global equities ","1661316699000","BSE Sensex, which climbed 82.36 points to 59,113.66 in early trade, later fell in the negative territory","https://www.thehindu.com/business/markets/markets-fall-after-early-gains-tracking-weak-global-equities/article65804325.ece"
"101","Rupee falls 4 paise in early trade ","1661315510000","The Indian currency pened at 79.84 against the dollar, then fell to 79.87.","https://www.thehindu.com/business/rupee-falls-4-paise-in-early-trade/article65804284.ece"
"102","Move to stifle any semblance of independent media: Congress on Adani&#039;s NDTV stake ","1661315167000","Adani launched a hostile takeover of NDTV, first with an indirect acquisition of a 29.18% stake in the broadcaster followed by an offer to buy out a further 26% controlling stake","https://www.thehindu.com/news/national/move-to-stifle-any-semblance-of-independent-media-congress-on-adanis-ndtv-stake/article65804269.ece"
"103","Morning Digest | Sonia Gandhi urges Ashok Gehlot to ‘lead’ Congress; Bihar’s Mahagathbandhan govt. to prove majority today, and more ","1661307359000","Here’s a select list of stories to read before you start your day","https://www.thehindu.com/news/morning-digest-august-24-2022/article65802917.ece"
"104","Labour Codes: Centre to meet States, trade unions to iron out differences ","1661276134000","Two-day meeting in Tirupati to be inaugurated by Prime Minister Narendra Modi","https://www.thehindu.com/news/national/labour-codes-centre-to-meet-states-trade-unions-to-iron-out-differences/article65802095.ece"
"105","Indian government forced Twitter to put ‘agent’ on payroll, grant access to user data, says former security chief ","1661322409000","Whistle-blower alleges that the company misled regulators about deficiencies in its ability to protect users against hackers or even spam","https://www.thehindu.com/news/national/indian-govt-forced-twitter-to-put-agent-on-payroll-grant-access-to-user-data-says-former-security-chief/article65802609.ece"
"106","Repco Home Finance eyes 10-11% growth in loan book during FY23 ","1661272515000","Eyes loan book of ₹13,000 crore","https://www.thehindu.com/business/repco-home-finance-eyes-10-11-growth-in-loan-book-during-fy23/article65802039.ece"
"107","Capri Global forays into gold loan business  ","1661272279000","","https://www.thehindu.com/business/capri-global-forays-into-gold-loan-business/article65802068.ece"
"108","GMDC scouts for consultant for pyrite, sulphur removal plant ","1661272137000","","https://www.thehindu.com/business/gmdc-scouts-for-consultant-for-pyrite-sulphur-removal-plant/article65802422.ece"
"109","Swiss firm Hitachi sets up new facility at Doddaballapur ","1661278196000","It has invested ₹100 cr for manufacture of power quality products","https://www.thehindu.com/news/cities/bangalore/swiss-firm-hitachi-sets-up-new-facility-at-doddaballapur/article65802335.ece"
"110","Hindalco earmarks about $8 bn in capex over 5 years ","1661271009000","Novelis has found potential investment opportunities of $4.5 billion","https://www.thehindu.com/business/hindalco-earmarks-about-8-bn-in-capex-over-5-years/article65802798.ece"
"111","Trade deficit to moderate, goods exports could hit $480 billion: Commerce Secretary ","1661270910000","Year’s target finalised but awaiting stability in geopolitics before announcing it: Minister","https://www.thehindu.com/business/Economy/trade-deficit-to-moderate-goods-exports-could-hit-480-billion-commerce-secretary/article65802781.ece"
"112","Tata Motors signs PPA with Tata Power to develop onsite solar project ","1661270869000","","https://www.thehindu.com/business/tata-motors-signs-ppa-with-tata-power-to-develop-onsite-solar-project/article65802779.ece"
"113","SpiceJet looking to raise funds from external parties, other airlines: CMD ","1661268849000","The airline is looking at multiple ways of raising funds, including through the government’s Emergency Credit Line Guarantee Scheme and sale and leaseback of its aircraft","https://www.thehindu.com/news/national/spicejet-looking-to-raise-funds-from-external-parties-other-airlines-cmd/article65802555.ece"
"114","Adani Group is &#039;deeply overleveraged&#039;, warns CreditSights ","1661274537000","CreditSights said, &quot;In the worst-case scenario, overly ambitious debt-funded growth plans could eventually spiral into a massive debt trap, and possibly culminate into a distressed situation or default of one or more group companies.&quot; 	","https://www.thehindu.com/business/Industry/adani-group-is-deeply-overleveraged-warns-creditsights/article65802534.ece"
"115","Department of Commerce being rejigged to make it future ready: Goyal ","1661275735000","A dedicated trade promotion body to be set up to devise overall strategy to achieve targets, said Union Minister Piyush Goyal","https://www.thehindu.com/business/commerce-dept-being-rejigged-to-make-it-future-ready-goyal/article65802506.ece"
"116","Entities can make overseas investment beyond prescribed limit in strategic sectors: Finance Ministry ","1661276896000","Explanatory note to Monday’s release says approval needed for exceeding ceiling","https://www.thehindu.com/business/entities-can-make-overseas-investment-beyond-prescribed-limit-in-strategic-sectors-finmin/article65802255.ece"
"117","Rupee worries force India&#039;s importers to hedge extra  ","1661276258000","“Considering India’s trade deficit issues and Fed rate hike view, we think rupee will depreciate more, possibly up to the 82 level,” said Rohit Maheshwari, CFO of Hero International B.V.","https://www.thehindu.com/business/rupee-worries-force-indias-importers-to-hedge-extra/article65802327.ece"
"118","Stitched Textiles scraps IPO plan; withdraws draft papers ","1661265218000","","https://www.thehindu.com/business/stitched-textiles-scraps-ipo-plan-withdraws-draft-papers/article65802250.ece"
"119","Leading economists see economy clipping 13-15.7% in Q1 ","1661275844000","The Reserve Bank-led monetary policy committee in the August 5 policy review projected the economy to grow 16.2% in the April-June quarter","https://www.thehindu.com/business/leading-economists-see-economy-clipping-13-157-in-q1/article65802118.ece"
"120","Chennai Petroleum to invest ₹2,570 cr. in Cauvery Basin Refinery project ","1661264906000","The new refinery would produce LPG, BS-VI quality gasoline and diesel and aviation turbine fuel and polypropylene as a value-added product","https://www.thehindu.com/business/chennai-petroleum-to-invest-2750-cr-in-cauvery-basin-refinery-project/article65801503.ece"
"121","Adani group makes bid to take over NDTV ","1661315403000","It has indirectly acquired 29.18% stake, to also make open offer for another 26%","https://www.thehindu.com/business/Industry/adani-group-subsidiary-to-indirectly-acquire-2918-stake-in-ndtv/article65801583.ece"
"122","CERT-In issues threat alert for high severity vulnerabilities in Linux, Unix and Realtek SDK ","1661251941000","The Indian Computer Emergency Response Team (CERT-In) revealed details about the vulnerabilities on Monday","https://www.thehindu.com/sci-tech/technology/cert-in-threat-alert-high-severity-vulnerability-linux-unix-realtek-sdk-sdp-sip/article65801257.ece"
"123","Sensex, Nifty snap two-day fall as bank, auto shares shine ","1661251772000","The 30-share BSE Sensex climbed 257.43 points","https://www.thehindu.com/business/markets/sensex-nifty-snap-two-day-fall-as-bank-auto-shares-shine/article65801230.ece"
"124","SpiceJet scouting for funds from airlines, external parties; plans to add 7 planes by December-end: Ajay Singh ","1661251514000","SpiceJet chairman and managing director Ajay Singh said it is doing the utmost to work through the stress that it has faced and the strategy is to raise resources ","https://www.thehindu.com/business/Industry/spicejet-scouting-for-funds-from-airlines-external-parties-plans-to-add-7-planes-by-december-end-ajay-singh/article65801143.ece"
