"Id","Title","Time","Description","Link"
"13","Ambulance calls for most serious conditions hit record","1660215628000","Official figures from NHS England suggest high demand for emergency services and hospitals.","https://www.bbc.co.uk/news/health-62504401?at_medium=RSS&at_campaign=KARANGA"
"14","NHS IT supplier held to ransom by hackers","1660220918000","Its IT provider says it may take three or four weeks to fully recover from the cyber-attack.","https://www.bbc.co.uk/news/technology-62506039?at_medium=RSS&at_campaign=KARANGA"
"15","Covid booster: Who will get another jab this autumn?","1660644079000","It has been confirmed that everyone aged 50 and over in the UK will be offered another Covid booster.","https://www.bbc.co.uk/news/health-55045639?at_medium=RSS&at_campaign=KARANGA"
"16","Polio: What is it and how does it spread?","1660129490000","What is polio and how can you protect yourself from it?","https://www.bbc.co.uk/news/health-61900915?at_medium=RSS&at_campaign=KARANGA"
"17","How to protect your skin in the heat","1660323846000","Dermatologist Adeline Kikam on coping with conditions that can develop in rising temperatures.","https://www.bbc.co.uk/news/uk-62525197?at_medium=RSS&at_campaign=KARANGA"
"18","Melanoma: 'Doctors said my cancerous mole was fungus'","1660269529000","By the time BBC journalist Sarah Lee was able to get doctors to listen, her cancer had spread.","https://www.bbc.co.uk/news/uk-england-london-62044136?at_medium=RSS&at_campaign=KARANGA"
"19","Olivia Newton-John's cancer-research legacy","1660056173000","The singer and actress spent years raising money to fund cancer research.","https://www.bbc.co.uk/news/health-62479872?at_medium=RSS&at_campaign=KARANGA"
"20","Did we all believe a myth about depression?","1659658793000","A study some claim debunks antidepressants has gone viral. Was it read wrong?","https://www.bbc.co.uk/news/health-62286093?at_medium=RSS&at_campaign=KARANGA"
"21","Archie Battersbee: Who decides when life support ends?","1659793960000","Tragically, for a small number of children who become critically ill each year, medicine reaches its limits.","https://www.bbc.co.uk/news/health-62390504?at_medium=RSS&at_campaign=KARANGA"
"22","TfL junk food advert ban: Has the policy cut obesity?","1659693843000","A new study claims 100,000 obesity cases have been prevented due to a ban on junk food advertising.","https://www.bbc.co.uk/news/uk-england-london-62420773?at_medium=RSS&at_campaign=KARANGA"
"23","Afra Rafeeq: India teen who died but raised millions to save her brother","1659568848000","Afra Rafeeq, who died this week, had raised millions of rupees to help get a crucial drug for her baby brother.","https://www.bbc.co.uk/news/world-asia-india-62403456?at_medium=RSS&at_campaign=KARANGA"
"24","BA.4 and BA.5 Omicron: How worried should we be?","1656665871000","Surges of Covid are happening again around the world, driven by some new subvariants of Omicron.","https://www.bbc.co.uk/news/health-55659820?at_medium=RSS&at_campaign=KARANGA"
"25","Covid: What is the guidance across the UK now?","1656669545000","Almost all of the UK's Covid rules have ended, two years after they were introduced.","https://www.bbc.co.uk/news/explainers-52530518?at_medium=RSS&at_campaign=KARANGA"
"26","Sore throat and cough top symptoms that could be Covid","1657799646000","That is according to UK data from 17,500 people this week who say they have Covid.","https://www.bbc.co.uk/news/health-62161604?at_medium=RSS&at_campaign=KARANGA"
"27","How will the vulnerable be protected from Covid? And other questions","1645543522000","The government has announced the end of all Covid restrictions in England.","https://www.bbc.co.uk/news/world-asia-china-51176409?at_medium=RSS&at_campaign=KARANGA"
"28","End of Covid regulations: What if I'm still worried?","1645538016000","What would ending isolation rules in England mean for people who are worried about getting Covid?","https://www.bbc.co.uk/news/health-60332989?at_medium=RSS&at_campaign=KARANGA"
"29","Omicron: How do I know if I have it?","1641299112000","The symptoms are similar to a cold, while genetic analysis is the only way to confirm the variant.","https://www.bbc.co.uk/news/health-59460252?at_medium=RSS&at_campaign=KARANGA"
"30","Covid: How to look after yourself at home","1649237106000","What can you expect if you have Covid, and when should you get extra help?","https://www.bbc.co.uk/news/health-59683083?at_medium=RSS&at_campaign=KARANGA"
"31","Covid vaccine ‘waning immunity’: How worried should I be?","1636852001000","Is the effectiveness of Covid vaccines waning over time? We look at how much protection being double vaccinated offers.","https://www.bbc.co.uk/news/health-59260294?at_medium=RSS&at_campaign=KARANGA"
"32","Why bonding over the Euros appeared to increase Covid cases in men","1627860889000","Psychologists say men need to be part of a group in order to vent their feelings and emotions.","https://www.bbc.co.uk/news/health-58015593?at_medium=RSS&at_campaign=KARANGA"
"33","Covid: Why are 12-15s now being double-jabbed?","1638204336000","All children aged 12 to 15 are being offered two doses of Covid vaccine.","https://www.bbc.co.uk/news/health-57888429?at_medium=RSS&at_campaign=KARANGA"
"34","Why you shouldn't get a second Covid jab too early","1625206894000","A government scientific advisor tells Newsbeat why four weeks is too soon between Covid jabs.","https://www.bbc.co.uk/news/newsbeat-57682233?at_medium=RSS&at_campaign=KARANGA"
"35","Beta coronavirus variant: What is the risk?","1627549040000","There are fears that this version of coronavirus, first identified in South Africa, is","https://www.bbc.co.uk/news/health-55534727?at_medium=RSS&at_campaign=KARANGA"
"36","Covid rules: How can the clinically vulnerable stay safe?","1626188553000","As social-distancing and other Covid rules end in England, how can people who were shielding stay safe?","https://www.bbc.co.uk/news/health-51997151?at_medium=RSS&at_campaign=KARANGA"
"37","What are the latest rules for face coverings and masks?","1647426159000","Rules around face coverings are easing across the UK but they are still required in some settings.","https://www.bbc.co.uk/news/health-51205344?at_medium=RSS&at_campaign=KARANGA"
"38","How many cases in your area?","1660310696000","Explore the data on coronavirus in the UK.","https://www.bbc.co.uk/news/uk-51768274?at_medium=RSS&at_campaign=KARANGA"
"39","Covid: When can teenagers get a second dose?","1637167505000","All 16 and 17 year-olds in the UK can now have a second dose 12 weeks after the first.","https://www.bbc.co.uk/news/health-57273875?at_medium=RSS&at_campaign=KARANGA"
"40","How do we know Covid vaccines are safe?","1644924644000","Busting myths and explaining the facts around vaccines.","https://www.bbc.co.uk/news/health-55056016?at_medium=RSS&at_campaign=KARANGA"
"41","Coronavirus: What it does to the body","1584147723000","What is it like to have the coronavirus, how will it affect you and how is it treated?","https://www.bbc.co.uk/news/health-51214864?at_medium=RSS&at_campaign=KARANGA"
"42","Support bubbles: How do they work and who is in yours?","1609929685000","Some people across the UK have been able to form ""support bubbles"" or ""extended households"".","https://www.bbc.co.uk/news/health-52637354?at_medium=RSS&at_campaign=KARANGA"
"43","How to get a Covid test","1651590887000","Most people in England and Scotland no longer get free PCRs or LFTs, and rules vary across the rest of the UK.","https://www.bbc.co.uk/news/health-51943612?at_medium=RSS&at_campaign=KARANGA"
"44","All you need to know on the coronavirus","1633515844000","A new cough, fever and change in smell or taste are the key symptoms of coronavirus.","https://www.bbc.co.uk/news/health-51048366?at_medium=RSS&at_campaign=KARANGA"
"45","Coronavirus: Intensive care and other key terms explained","1588464378000","Use our tool to check the meaning of key words and phrases associated with the Covid-19 outbreak.","https://www.bbc.co.uk/news/health-52182658?at_medium=RSS&at_campaign=KARANGA"
"46","Coronavirus: What is the risk to men over 50?","1587067434000","While most people will have mild symptoms and recover quickly, some are more prone to getting sick.","https://www.bbc.co.uk/news/health-52197594?at_medium=RSS&at_campaign=KARANGA"
"47","Coronavirus: Do face masks actually work?","1584147865000","With face masks in high demand, we look at whether they really can protect people from the virus.","https://www.bbc.co.uk/news/health-51881555?at_medium=RSS&at_campaign=KARANGA"
"48","Dame Deborah James's mother on life without her daughter","1660627042000","Heather James spoke to BBC Breakfast about how her family owe it to her daughter to enjoy life.","https://www.bbc.co.uk/news/uk-62525517?at_medium=RSS&at_campaign=KARANGA"
"49","ADHD clinic: 'I'm 22 and I've just been diagnosed'","1660604592000","Lucy was diagnosed with ADHD at 22 years of age, after being told she'd have to wait two years on the NHS.","https://www.bbc.co.uk/news/uk-62507736?at_medium=RSS&at_campaign=KARANGA"
"50","First Barbie doll with hearing aids is 'really important' - Rose Ayling-Ellis","1660665708000","Actor Rose Ayling-Ellis worked on the creation of the doll, saying ""it's quite powerful"" and ""such a big deal.""","https://www.bbc.co.uk/news/uk-62568902?at_medium=RSS&at_campaign=KARANGA"
"51","First bivalent Covid-19 booster gets UK approval","1660605192000","A new bivalent vaccine made by Moderna that targets two Covid-19 variants has been approved in the UK.","https://www.bbc.co.uk/news/health-62557683?at_medium=RSS&at_campaign=KARANGA"
"52","The woman who found a new life after being given six weeks to live","1659913402000","In 2015, Andrea Sheardown was diagnosed with a rare liver cancer and given just six weeks to live.","https://www.bbc.co.uk/news/health-62442323?at_medium=RSS&at_campaign=KARANGA"
"53","Everyone over 12 expected to be eligible for new boosters, White House official says","1660824084000","With updated shots coming soon, should you wait to get another dose or get boosted with the current vaccines now?","https://www.cnbc.com/2022/08/18/everyone-over-12-expected-to-be-eligible-for-new-boosters-white-house-official-says.html"
"54","Childhood polio vaccination rate is dangerously low in some New York communities, increasing the risk of an outbreak","1660820401000","Despite a school polio vaccine mandate, childhood immunization against polio has dropped in some communities in recent years.","https://www.cnbc.com/2022/08/18/child-polio-vaccination-rate-low-in-some-new-york-areas-increasing-outbreak-risk.html"
"55","CDC Director Walensky to reorganize agency after admitting Covid pandemic response fell short","1660781560000","The organizational changes are focused on sharing data more quickly and making public health guidance easier for people to understand.","https://www.cnbc.com/2022/08/17/cdc-admits-covid-response-fell-short-launches-reorganization.html"
"56","Monkeypox cases jumped 20% in the last week to 35,000 across 92 countries, WHO says","1660757163000","Nearly all cases are reported in Europe and the Americas among men who have sex with men, according to the WHO.","https://www.cnbc.com/2022/08/17/monkeypox-cases-have-increased-20percent-to-35000-across-92-countries-who-says.html"
"57","Pharmacies must pay $650.6 million to Ohio counties in opioid case","1660754797000","Pharmacy operators CVS, Walmart and Walgreens must pay a combined $650.6 million to two Ohio counties to address the damage done by the opioid epidemic.","https://www.cnbc.com/2022/08/17/pharmacies-must-pay-650point6-million-to-ohio-counties-in-opioid-case.html"
"58","Best Buy to sell over-the-counter hearing devices this fall following change in FDA regulation","1660754620000","Best Buy will begin selling over-the-counter hearing devices as early as mid-October following a new FDA rule.","https://www.cnbc.com/2022/08/17/best-buy-to-sell-otc-hearing-aid-devices-after-fda-regulation.html"
"59","The Inflation Reduction Act caps costs for Medicare patients on insulin. Where the push for broader relief stands","1660696242000","The Inflation Reduction Act will limit insulin co-pays for Medicare patients to $35 per month. Where efforts to provide similar relief to other patients stand.","https://www.cnbc.com/2022/08/16/inflation-reduction-act-to-cap-costs-for-medicare-patients-on-insulin.html"
"60","Polio has been circulating for months in New York City area and poses an ongoing risk to the unvaccinated, CDC says","1660674125000","No additional cases of paralytic polio have been confirmed, though CDC officials warned that circulation of the virus poses a risk to the unvaccinated.","https://www.cnbc.com/2022/08/16/polio-circulating-locally-in-nyc-area-poses-risk-to-unvaccinated-cdc-says.html"
"61","UK becomes the first country to approve a dual Covid vaccine targeting omicron","1660570021000","Britain on Monday became the first country in the world to approve a dual Covid-19 vaccine, which tackles both the original virus and the newer Omicron variant. ","https://www.cnbc.com/2022/08/15/uk-becomes-first-country-to-approve-modernas-dual-covid-19-vaccine.html"
"62","We're using a pullback in one of our drug stocks to buy more shares","1660567557000","While mindful of a liability risk, we continue to believe this company's exposure will be minimal, if anything. ","https://www.cnbc.com/2022/08/15/investing-club-were-using-a-pullback-in-one-of-our-drug-stocks-to-buy-more-shares.html"
"63","Passage of Inflation Reduction Act gives Medicare historic new powers over drug prices","1660351040000","The legislation represents a historic expansion of Medicare's power that was fiercely opposed by the pharmaceutical industry.","https://www.cnbc.com/2022/08/12/drug-prices-passage-of-inflation-reduction-act-gives-medicare-historic-new-powers.html"
"64","DOJ plans to retry Philip Esformes despite Trump commuting sentence of Florida nursing home owner","1660319881000","Florida nursing homes operator Philip Esformes was one of dozens of criminal defendants who received executive clemency from President Donald Trump.","https://www.cnbc.com/2022/08/12/doj-plans-to-retry-philip-esformes-despite-trump-commuting-sentence-.html"
"65","Polio detected in New York City sewage suggesting local circulation of virus, health officials say","1660351603000","Health officials are aggressively assessing how far polio has spread in the city and in New York state.","https://www.cnbc.com/2022/08/12/polio-detected-in-new-york-city-sewage-suggesting-local-circulation-of-virus-health-officials-say.html"
"66","Pharma stock investors brace for billions in heartburn drug litigation charges","1660314456000","For many investors and analysts, this ordeal brings back memories of the Bayer Roundup saga. ","https://www.cnbc.com/2022/08/12/zantac-pharma-stocks-crater-as-investors-brace-for-litigation-charges.html"
"67","CDC eases Covid guidance as U.S. has more tools to fight the virus and keep people out of the hospital","1660264322000","The public health agency said the virus now poses a significantly lower risk due to high levels of immunity from vaccines and infections.","https://www.cnbc.com/2022/08/11/cdc-eases-covid-guidance-as-virus-now-a-poses-lower-risk-of-severe-illness.html"
"68","UK's urgent polio vaccine rollout for children in London 'a wake-up call' as more virus traces found","1660223269000","Britain is rolling out urgent polio vaccinations for all London-based children under 10 as a reemergence of the virus stoked fears of a wider outbreak.","https://www.cnbc.com/2022/08/11/uk-launches-urgent-polio-vaccine-rollout-for-london-children-under-10.html"
"69","Facebook turned over chat messages between mother and daughter now charged over abortion","1660135330000","The company was served with a warrant for the messages, an example of what experts worry could become a common occurrence.","https://www.cnbc.com/2022/08/09/facebook-turned-over-chat-messages-between-mother-and-daughter-now-charged-over-abortion.html"
"70","FDA expands monkeypox vaccine authorization to increase dose supply, allows shots for children","1660085890000","The FDA will allow health-care providers to administer the shots through intradermal injection, or between the layers of the skin, for adults.","https://www.cnbc.com/2022/08/09/fda-expands-monkeypox-vaccine-authorization-to-increase-dose-supply-five-fold.html"
"71","Novavax cuts 2022 revenue guidance in half, stock tanks in after-hours trading","1660050900000","The Maryland biotech company cut its 2022 sales outlook by about 50% and now expects to generate $2 billion to $2.3 billion in revenue.","https://www.cnbc.com/2022/08/08/novavax-cuts-2022-revenue-guidance-in-half-stock-tanks-in-after-hours-trading.html"
"72","Goldman Sachs says buy this biopharma stock that's poised to rally nearly 40% from here","1659965519000","Goldman Sachs says it's time for investors to put their money in Rhythm Pharmaceuticals","https://www.cnbc.com/2022/08/08/goldman-sachs-says-buy-this-biopharma-stock-thats-poised-to-rally-nearly-40percent-from-here.html"
"73","Hong Kong cuts hotel quarantine for travelers to 3 days, plus 4 days of home medical surveillance","1659931728000","After completing the hotel quarantine, travelers can stay at home or in a hotel for the four days of surveillance.","https://www.cnbc.com/2022/08/08/hong-kong-reduces-hotel-quarantine-for-overseas-visitors-to-three-days.html"
"74","Senate passes sweeping climate, health and tax package, putting Democrats on cusp of historic win","1659968122000","The Inflation Reduction Act now heads to the House, which is expected to pass it later this week and send it to President Joe Biden's desk for his signature.","https://www.cnbc.com/2022/08/07/senate-passes-sweeping-climate-health-and-tax-package-putting-democrats-on-cusp-of-historic-win.html"
"75","Republicans block cap on insulin costs for many Americans from Democratic deal","1659896915000","Republicans stripped out a provision to cap insulin costs at $35 for private insurers, but the Inflation Reduction Act still includes an insulin price cap for seniors on Medicare.","https://www.cnbc.com/2022/08/07/republicans-block-cap-on-insulin-costs-for-many-americans-from-democratic-deal.html"
"76","Democrats’ big climate, health care and tax package clears major Senate hurdle","1659877429000","The Senate moved forward on a bill to advance major pieces of Democrats' and President Joe Biden's agenda, setting up a final vote in the coming days.","https://www.cnbc.com/2022/08/07/democrats-big-climate-health-care-and-tax-package-clears-major-senate-hurdle.html"
"77","'Stressed out' STD clinics struggle to handle surge in monkeypox patients as U.S. outbreak grows","1659999204000","Sexual health clinics are facing a surge of patients seeking testing, vaccines and treatment for monkeypox.","https://www.cnbc.com/2022/08/06/monkeypox-std-clinics-struggle-with-surge-in-patients-amid-outbreak-.html"
"78","Large Indiana employers Eli Lilly and Cummins speak out about the state's new restrictive abortion law","1659817220000","Eli Lilly, one of the biggest employers in Indiana, said that the state's newly passed restrictions on abortions will push it to grow away from its home turf. ","https://www.cnbc.com/2022/08/06/eli-lilly-says-indianas-abortion-law-will-lead-the-drugmaker-to-grow-in-other-states.html"
"79","President Joe Biden tests negative for Covid-19 after rebound case","1659805338000","President Joe Biden tested negative for Covid-19 but will continue to isolate, according to the White House.","https://www.cnbc.com/2022/08/06/president-joe-biden-tests-negative-for-covid-19-after-rebound-case.html"
"80","Artificial intelligence drug hunters are nearing a pivotal stage in their development","1659790498000","Over the next 12 to 18 months, AI-first drug developers will provide updates on early clinical work that will help the market assign a value to these stocks. ","https://www.cnbc.com/2022/08/06/ai-powered-drug-hunters-are-nearing-a-pivotal-stage-in-their-development-.html"
"81","WHO recommends gay and bisexual men limit sexual partners to reduce the spread of monkeypox","1658967431000","Men who have sex with men are the group at the highest risk of infection right now from monkeypox, according to the WHO.","https://www.cnbc.com/2022/07/27/monkeypox-who-recommends-gay-bisexual-men-limit-sexual-partners-to-reduce-spread.html"
"82","New York polio case is the 'tip of the iceberg,' hundreds of others could be infected, health official says","1660006442000","New York's top health official warned the polio case in an unvaccinated adult and the detection of the virus in sewage could indicate there's a larger outbreak.","https://www.cnbc.com/2022/08/05/new-york-polio-case-tip-of-iceberg-hundreds-of-others-could-be-infected.html"
"83","MP: Man distributes 1.01 lakh pani-puris as daughter turns one ","1660828381000","The aim was to send a message about the need to educate girls.","https://www.thehindu.com/life-and-style/food/mp-man-distributes-101-lakh-pani-puris-as-daughter-turns-one/article65783756.ece"
"84","High Court refuses interim order to stay decision permitting Sikhs to carry kirpans on flights ","1660826427000","The bench asked the respondents to file their response to the petition which seeks the constitution of a committee to examine “workable solutions” to ensure that a kirpan permitted to be carried on the flight is “appropriately designed and crafted”","https://www.thehindu.com/news/national/high-court-refuses-interim-order-to-stay-decision-permitting-sikhs-to-carry-kirpans-on-flights/article65783463.ece"
"85","What does Japanese designer Issey Miyake’s inspiration mean today for Indian fashion? ","1660825621000","Miyake’s passing is a black and white reminder of what cloth and cultural identity mean on the global stage","https://www.thehindu.com/life-and-style/fashion/tribute-japanese-designer-issey-miyake-inspiration-for-indian-fashion/article65774353.ece"
"86","Seven South Korean artists from Jeju Island exhibit their work in Chennai    ","1660823646000","Seven artists from Jeju Island in South Korea tell stories of resilience through varied mediums in this Chennai exhibit ","https://www.thehindu.com/entertainment/art/seven-south-korean-artists-from-jeju-island-exhibit-their-work-in-chennai/article65774870.ece"
"87","Hyderabadis find solace in green memorials  ","1660822946000","In Hyderabad, project Haritham has helped set up two parks in memory of those who lost their lives to COVID-19. More will follow","https://www.thehindu.com/life-and-style/hyderabadis-find-solace-in-green-memorials/article65774749.ece"
"88","National award winner Aparna Balamurali says her work in ‘Soorarai Pottru’ has helped her as an actor ","1660811190000","Aparna Balamurali has three Malayalam films and one Tamil film, Nitham Oru Vaanam, lined up for release","https://www.thehindu.com/entertainment/movies/aparna-balamurali-says-soorarai-pottru-has-helped-her-as-an-actor/article65774916.ece"
"89","Ola Electric S1 scooter rolls out  ","1660799636000","","https://www.thehindu.com/life-and-style/motoring/ola-electric-s1-scooter-rolls-out/article65782068.ece"
"90","Ola Electric’s first car to be unveiled in 2024 ","1660829292000","","https://www.thehindu.com/life-and-style/motoring/ola-electrics-first-car-to-be-unveiled-in-2024/article65782063.ece"
"91","Mapping India: How Madras pioneered a new age of surveys and maps ","1660799344000","During the 19th Century, this city that is now Chennai led India into a new age of mapping. Mark Madras week with us, exploring relics and stories of the Great Trigonometrical Survey","https://www.thehindu.com/society/history-and-culture/mapping-india-how-madras-pioneered-a-new-age-of-surveys-and-maps/article65774414.ece"
"92","Sri Lanka to woo greater number of Indian tourists  ","1660754402000","The island is preparing new packages such as the Murugan-Shiva Shakthi trails ","https://www.thehindu.com/news/international/sri-lanka-to-woo-greater-number-of-indian-tourists/article65779759.ece"
"93","Superman, whales and pigs took to the skies, as kite fliers participated at the Tamil Nadu International Kite Festival   ","1660747211000","Whales, pigs and an LED-lit UFO took to the skies recently, as kite fliers from across India and beyond descended at the maiden Over 124 kites were showcased at Tamil Nadu International Kite Festival. Some even weighed over 16 kilograms and cost around a lakh ","https://www.thehindu.com/life-and-style/superman-whales-and-pigs-took-to-the-skies-as-kite-fliers-participated-at-the-tamil-nadu-international-kite-festival/article65774444.ece"
"94","I’m 35 and I have gout – and it’s not for the reasons you think","1660827646000","Gout has long been seen as a bit of a joke, a disease of old men who eat and drink too much. It’s not that simple – or that funnyI have tried every position five times over, but the searing pain in my big toe won’t go away. I can’t sleep. The pain pulses as if my heart has migrated to my foot, but instead of blood it is pumping razor blades. I have had my fair share of pain over the years. I have broken my back and had impacted wisdom teeth, but I have never felt anything this excruciating.“How have I done this?” I ask myself over and over. I went to bed with a normal toe; now, it is purple and has doubled in size. I assume I must have knocked it in the night and broken it, so I visit my local hospital, where a nurse takes one look at my bulbous toe and says: “It’s gout.”  Continue reading...","https://www.theguardian.com/lifeandstyle/2022/aug/18/im-35-and-i-have-gout-and-its-not-for-the-reasons-you-think"
"95","‘Good’ posture doesn’t prevent back pain, and ‘bad’ posture doesn’t cause it |  Peter O'Sullivan, Leon Straker and Nic Saraceni for The Conversation","1660787193000","The idea that slouching will damage your back lacks evidence. But there are other factors known to be important for spine healthBack pain is the leading cause of disability worldwide. Most people experience an episode of back pain in their lifetime. It often emerges during adolescence and becomes more common in adults.For the 25% of people who develop back pain, it can become persistent, disabling and distressing. It can affect a person’s ability to participate in activities of daily living, physical activity and work. Activities such as sitting, standing, bending and lifting frequently aggravate back pain. Continue reading...","https://www.theguardian.com/lifeandstyle/2022/aug/18/good-posture-doesnt-prevent-back-pain-and-bad-posture-doesnt-cause-it"
"96","Altruism is supposed to be a selfless act. So why did helping a stranger leave me feeling so foolish? | Martin Love","1660399242000","Helping a hitchhiker should have given me a warm glow of generosity, but ended with me feeling like a gullible shmuckWhat’s the most money you’ve ever given a complete stranger? £20, £30, £50… maybe more? I’ve always been free and easy when it comes to handing out small change on the street, but a couple of months ago I found myself in a different league altogether. I gave a man I had never met before £200. I drove to a cashpoint at 10pm, got out 10 shiny new £20 notes and handed them over without any real idea if I’d ever see the man or the money again.Since then, this “good deed” has been polished up into a hilarious family anecdote in which “gullible old Martin” is taken advantage of once again by a smooth-talking huckster. My radar for a far-fetched sob story or bargain often lets me down. Let’s not dwell on the endless timeshare opportunities, rug purchases, sick puppies, random muggings, punctures, pregnancies, rare antiques and fake tickets that I’ve refused to let pass me by. Continue reading...","https://www.theguardian.com/lifeandstyle/2022/aug/13/altruism-is-a-selfless-act-so-why-did-helping-a-stranger-leave-me-feeling-so-foolish-"
"97","I had babies in Germany 10 years apart. This is what I learned about healthcare, motherhood and race","1660370435000","My son was born soon after we moved to Berlin to open a bookshop. Last year I had twins – and things went far less smoothly• More stories of Black women’s birth experiences around the worldOf the mothers in my circle, I thought I was the most “one and done”. I became pregnant with my first child at the age of 29, shortly after marrying my husband, and a year after I’d moved to Berlin following Boris Johnson’s election as mayor of London. I felt he would damage my home city, taking it further along the road to unaffordability and unfettered capitalism. The rise in the cost of everything in London meant the life I had assumed I would have as a third-generation Londoner wasn’t possible.It was a childhood dream to open a bookshop and to have a family of my own, and Berlin made both those things possible. I was lucky to have a smooth pregnancy, and the public healthcare insurance scheme in Germany cost me the same as I would pay in national insurance contributions in the UK. Included in my plan was a monthly scan with my gynaecologist, as well as two deep scans and one 4D scan, so when my child arrived I knew everything about him. The care from my doctor was stern and medicalised – when my six-week scan showed two eggs, she told me not to get excited as one egg could vanish, which was alarming and upsetting. I chose to also get a midwife, paid for by my health insurance, who had a more holistic approach. My son was two weeks late, and she suggested that I insert a tampon soaked in olive oil and cloves, sit on a toilet filled with lavender and hay, and drink camomile tea. The doctor suggested that I be induced. I did both, and the latter brought me my son. Continue reading...","https://www.theguardian.com/lifeandstyle/2022/aug/13/had-babies-germany-10-years-apart-healthcare-motherhood-race-birth"
"98","‘I felt I was being assessed on my skin colour’: Black women around the world share their birth stories","1660370434000","From Rio to Reykjavik, London to Shanghai, Black women face a maternal health crisis. Six mothers share their stories of pregnancy, birth – and racism• I had my babies in Berlin. My son arrived first, but the twins’ birth went less smoothlyShakia Stewart, 34, global head of content, British Council, London Continue reading...","https://www.theguardian.com/lifeandstyle/2022/aug/13/black-women-around-world-share-birth-stories-pregnancy-racism"
"99","Meditation app Calm sacks one-fifth of staff","1660336707000","Wellness tech company, which enjoyed a boom in custom during the Covid lockdown, has let 90 of its 400 staff goThe US-based meditation app Calm has laid off 20% of its workforce, becoming the latest US tech startup to announce job cuts.The firm’s boss, David Ko, said the company, which has now axed about 90 people from its 400-person staff, was “not immune” to the economic climate. “In building out our strategic and financial plan, we revisited the investment thesis behind every project and it became clear that we need to make changes,” he said in a memo to staff. Continue reading...","https://www.theguardian.com/lifeandstyle/2022/aug/12/meditation-app-calm-sacks-one-fifth-off-staff"
"100","Alone but not lonely: the solo activities that help foster connection","1660334421000","Loneliness can be difficult to talk about, and even more difficult to fix. But the pathways out do not always require companyGet our weekend culture and lifestyle emailWhen we feel lonely, our first instinct is often to withdraw. “There tends to be shame around loneliness, so we tend to hide and avoid,” says Dr Alison Mahoney, a psychologist at Sydney’s St Vincent’s hospital. “Which only perpetuates loneliness … you disconnect further.“There’s a myth that there’s something inherently weak with feeling lonely, but in fact, it’s universal.” Continue reading...","https://www.theguardian.com/lifeandstyle/2022/aug/12/alone-but-not-lonely-the-solo-activities-that-help-foster-connection"
"101","What’s the best way to tackle my sister’s violent outbursts? | Ask Annalisa Barbieri","1660309212000","You and your sibling need to recognise the adult women you are now – not the children you once wereI’m a woman in my 20s struggling to know how to respond to my younger sister’s violent outbursts. She is also in her 20s.They happen quite frequently, and seemingly come out of nowhere. For example, once I was chatting with my mum in the living room while my sister was watching TV. She asked us to shut up. We continued talking and so she came over slapped me across the face. Continue reading...","https://www.theguardian.com/lifeandstyle/2022/aug/12/whats-the-best-way-to-tackle-my-sisters-violent-outbursts"
